Coverage ErrorRate EditDis n Freq
100 0.5 4 33 3
100 0.5 6 1 1
100 0.5 6 2 9
100 0.5 6 3 23
100 0.5 6 4 88
100 0.5 6 5 248
100 0.5 6 6 561
100 0.5 6 7 1123
100 0.5 6 8 2209
100 0.5 6 9 3870
100 0.5 6 10 6317
100 0.5 6 11 9402
100 0.5 6 12 12976
100 0.5 6 13 16869
100 0.5 6 14 20921
100 0.5 6 15 24196
100 0.5 6 16 26654
100 0.5 6 17 28530
100 0.5 6 18 28155
100 0.5 6 19 26779
100 0.5 6 20 24351
100 0.5 6 21 21937
100 0.5 6 22 18284
100 0.5 6 23 14927
100 0.5 6 24 11350
100 0.5 6 25 8373
100 0.5 6 26 5697
100 0.5 6 27 4116
100 0.5 6 28 2825
100 0.5 6 29 1826
100 0.5 6 30 1143
100 0.5 6 31 658
100 0.5 6 32 398
100 0.5 6 33 235
100 0.5 6 34 83
100 0.5 6 35 53
100 0.5 6 36 22
100 0.5 6 37 1
100 0.5 6 38 7
100 0.5 6 39 5
100 1 0 1 63930
100 1 0 2 61497
100 1 0 3 39356
100 1 0 4 18915
100 1 0 5 7488
100 1 0 6 2408
100 1 0 7 720
100 1 0 8 153
100 1 0 9 30
100 1 2 1 20113
100 1 2 2 29495
100 1 2 3 34101
100 1 2 4 36610
100 1 2 5 39262
100 1 2 6 38470
100 1 2 7 35049
100 1 2 8 28947
100 1 2 9 21601
100 1 2 10 14290
100 1 2 11 8472
100 1 2 12 4707
100 1 2 13 2495
100 1 2 14 1288
100 1 2 15 532
100 1 2 16 298
100 1 2 17 93
100 1 2 18 68
100 1 2 19 16
100 1 4 1 601
100 1 4 2 1474
100 1 4 3 3360
100 1 4 4 6588
100 1 4 5 10999
100 1 4 6 16061
100 1 4 7 21289
100 1 4 8 26273
100 1 4 9 30061
100 1 4 10 31740
100 1 4 11 32429
100 1 4 12 31451
100 1 4 13 27974
100 1 4 14 23880
100 1 4 15 19076
100 1 4 16 13811
100 1 4 17 9793
100 1 4 18 7139
100 1 4 19 4590
100 1 4 20 2781
100 1 4 21 1671
100 1 4 22 958
100 1 4 23 538
100 1 4 24 276
100 1 4 25 173
100 1 4 26 55
100 1 4 27 28
100 1 4 28 5
100 1 4 29 6
100 1 6 1 9
100 1 6 2 22
100 1 6 3 85
100 1 6 4 232
100 1 6 5 541
100 1 6 6 1280
100 1 6 7 2471
100 1 6 8 4351
100 1 6 9 7028
100 1 6 10 10385
100 1 6 11 13905
100 1 6 12 17625
100 1 6 13 21757
100 1 6 14 24915
100 1 6 15 27364
100 1 6 16 27909
100 1 6 17 28581
100 1 6 18 26537
100 1 6 19 23944
100 1 6 20 20847
100 1 6 21 17578
100 1 6 22 13352
100 1 6 23 10491
100 1 6 24 7706
100 1 6 25 5734
100 1 6 26 3769
100 1 6 27 2480
100 1 6 28 1737
100 1 6 29 1095
100 1 6 30 610
100 1 6 31 420
100 1 6 32 229
100 1 6 33 120
100 1 6 34 60
100 1 6 35 35
100 1 6 36 17
100 2 0 1 56186
100 2 0 2 37317
100 2 0 3 16408
100 2 0 4 5780
100 2 0 5 1500
100 2 0 6 315
100 2 0 7 64
100 2 0 8 9
100 2 0 9 10
100 2 2 1 42089
100 2 2 2 49114
100 2 2 3 46931
100 2 2 4 40735
100 2 2 5 35857
100 2 2 6 27927
100 2 2 7 20375
100 2 2 8 13965
100 2 2 9 8438
100 2 2 10 4238
100 2 2 11 2172
100 2 2 12 1094
100 2 2 13 414
100 2 2 14 171
100 2 2 15 66
100 2 2 16 20
100 2 2 17 10
100 2 2 18 5
100 2 2 21 8
100 2 4 1 3437
100 2 4 2 6514
100 2 4 3 10749
100 2 4 4 15921
100 2 4 5 22543
100 2 4 6 27846
100 2 4 7 31270
100 2 4 8 33252
100 2 4 9 33282
100 2 4 10 31138
100 2 4 11 27194
100 2 4 12 22728
100 2 4 13 18316
100 2 4 14 13792
100 2 4 15 9555
100 2 4 16 6342
100 2 4 17 4197
100 2 4 18 2514
100 2 4 19 1538
100 2 4 20 828
100 2 4 21 409
100 2 4 22 216
100 2 4 23 129
100 2 4 24 68
100 2 4 25 15
100 2 4 26 10
100 2 4 27 14
100 2 6 1 90
100 2 6 2 256
100 2 6 3 614
100 2 6 4 1306
100 2 6 5 2465
100 2 6 6 4223
100 2 6 7 6750
100 2 6 8 10084
100 2 6 9 13915
100 2 6 10 18084
100 2 6 11 22096
100 2 6 12 25177
100 2 6 13 27668
100 2 6 14 28684
100 2 6 15 28176
100 2 6 16 26902
100 2 6 17 23992
100 2 6 18 20515
100 2 6 19 17183
100 2 6 20 13614
100 2 6 21 10288
100 2 6 22 7756
100 2 6 23 5447
100 2 6 24 3707
100 2 6 25 2392
100 2 6 26 1497
100 2 6 27 953
100 2 6 28 617
100 2 6 29 345
100 2 6 30 181
100 2 6 31 103
100 2 6 32 70
100 2 6 33 30
100 2 6 34 7
100 2 6 35 5
100 2 6 36 7
100 4 0 1 26556
100 4 0 2 8187
100 4 0 3 1788
100 4 0 4 270
100 4 0 5 54
100 4 2 1 70854
100 4 2 2 52977
100 4 2 3 35316
100 4 2 4 22436
100 4 2 5 13555
100 4 2 6 7381
100 4 2 7 3732
100 4 2 8 1707
100 4 2 9 738
100 4 2 10 217
100 4 2 11 75
100 4 2 12 20
100 4 2 13 14
100 4 2 14 8
100 4 4 1 22535
100 4 4 2 28088
100 4 4 3 32316
100 4 4 4 35445
100 4 4 5 36195
100 4 4 6 33422
100 4 4 7 29922
100 4 4 8 25276
100 4 4 9 20045
100 4 4 10 15196
100 4 4 11 10710
100 4 4 12 7480
100 4 4 13 4843
100 4 4 14 3061
100 4 4 15 1661
100 4 4 16 861
100 4 4 17 476
100 4 4 18 235
100 4 4 19 96
100 4 4 20 58
100 4 4 21 28
100 4 4 22 5
100 4 4 23 1
100 4 6 1 2109
100 4 6 2 3837
100 4 6 3 6203
100 4 6 4 9188
100 4 6 5 12720
100 4 6 6 16609
100 4 6 7 20257
100 4 6 8 24098
